# Pacman Minimal Packages with Descriptions
# Format: package_name|description
android-tools|Android development and debugging tools
bat|Enhanced cat command with syntax highlighting
bleachbit|System cleaner and privacy tool
btop|Resource monitor and process viewer
cmatrix|Matrix-style terminal screensaver
dosfstools|DOS filesystem utilities
expac|Pacman database extraction utility
firefox|Web browser
fwupd|Firmware update daemon
gamemode|Game optimization daemon
gnome-disk-utility|Disk management utility
hwinfo|Hardware information tool
inxi|System information script
lib32-gamemode|32-bit game optimization library
net-tools|Network utilities (ifconfig, netstat, etc.)
noto-fonts-extra|Additional Google Noto fonts
ntfs-3g|NTFS filesystem driver
samba|Windows file sharing compatibility
sl|Steam locomotive animation
speedtest-cli|Command line speedtest tool
sshfs|SSH filesystem client
ttf-hack-nerd|Hack font with Nerd Fonts icons
ttf-liberation|Liberation font family
unrar|RAR archive extractor
xdg-desktop-portal-gtk|GTK portal for desktop integration
